0,0,0,,0,,,0
3289572216,8000,3289572216,DE,315,j8DqJB,,0
1097654858,3128,1097654858,FI,322,,,0
1126950141,5457,712501221,VN,288,,,0
1581992970,8080,1581992970,PL,351,,,0
1208656043,16519,3004812830,UY,288,,,0
1126951956,31175,1740054838,IN,288,,,0
1208656044,2955,453354890,IN,297,,,0
1208656043,1063,1449319391,AE,332,,,0
1126949859,18833,2057385308,IN,288,,,0
395847694,3128,395847694,US,338,,,0
1845030038,9898,1845030038,KZ,339,,,0
1208657074,3301,2084331248,KR,332,,,0
1126951956,1247,2680460462,AU,280,,,0
1126949859,26639,1892215393,PH,332,,,0
3289514880,8000,3289514880,DE,315,tbPTmf,,0
310871412,3128,1383526948,BG,251,,,0
1208657074,31541,3699020897,KR,304,,,0
84504823,3128,84504823,DE,251,,,0
1266127258,55604,1266127258,DE,322,,,1
349335840,80,349335840,JP,322,,,0
3119707359,8000,3119707359,CN,315,qRqXHb,,0
1126951956,9715,1733525709,IN,297,,,0
3262915659,8080,3262915659,TR,255,,,0
763559413,8000,763559413,MX,315,0rZ973,,0
3007116069,48699,3007116069,CO,317,,,1
348994959,80,348994959,HK,322,,,0
1208655962,24103,3651504586,AE,288,,,0
1317487241,80,1317487241,TR,251,,,0
1346523435,4000,3119739036,NL,284,,,0
760200558,59487,760200558,US,332,,,1
1126951956,33197,3201634280,TT,280,,,0
1386596009,5534,1386596009,DE,332,,,1
349072064,8123,349072064,BR,313,,,0
349072064,80,349072064,BR,338,,,0
3211170761,8000,3211170761,US,315,9B0K2A,,0
1126949859,30217,824464329,IN,284,,,0
1319021472,8080,1319021472,IR,288,,,0
1208657074,5211,453268651,IN,288,,,0
599376934,3128,577338218,US,341,,,0
3289611184,8000,3289611184,DE,315,7F4bsZ,,0
342832656,80,342832656,FR,347,,,0
2011902710,4153,2011902710,IN,317,,,0
1126950141,16611,3170415695,SA,288,,,0
1208657074,1915,3394441606,IN,284,,,0
1126950141,22145,1893504723,KR,288,,,0
2867753031,8080,2867753031,BR,322,,,0
337128406,8123,337128406,SG,322,,,0
2733642629,55967,2733640227,US,332,,,1
1856303554,4153,1856303554,TH,342,,,1
1498920895,8080,1498920895,FR,301,,,0
1979319098,8080,1979319098,IN,339,,,0
2224354334,45157,2224354334,US,317,,,1
1034610190,10800,1034610190,CN,285,,,1
2469251150,8000,2469251150,RU,315,zL4uJa,,0
3141425660,4153,3141425660,BR,317,,,1
